timestamp,beats per minute
2025-08-20T13:31:17Z,159
2025-08-20T13:31:22Z,160
2025-08-20T13:31:27Z,161
2025-08-20T13:31:32Z,161
2025-08-20T13:31:42Z,161
2025-08-20T13:31:47Z,158
2025-08-20T13:31:52Z,154
2025-08-20T13:31:57Z,154
2025-08-20T13:32:02Z,157
2025-08-20T13:32:07Z,160
2025-08-20T13:32:22Z,160
2025-08-20T13:32:32Z,157
2025-08-20T13:32:37Z,148
2025-08-20T13:32:42Z,145
2025-08-20T13:32:47Z,143
2025-08-20T13:32:52Z,142
2025-08-20T13:32:57Z,143
2025-08-20T13:33:12Z,143
2025-08-20T13:33:17Z,140
2025-08-20T13:33:22Z,140
2025-08-20T13:33:27Z,141
2025-08-20T13:33:32Z,138
2025-08-20T13:33:37Z,136
2025-08-20T13:33:42Z,134
2025-08-20T13:33:47Z,131
2025-08-20T13:33:52Z,126
2025-08-20T13:33:57Z,122
2025-08-20T13:34:02Z,116
2025-08-20T13:34:07Z,109
2025-08-20T13:34:12Z,106
2025-08-20T13:34:17Z,107
2025-08-20T13:34:22Z,111
2025-08-20T13:34:27Z,112
2025-08-20T13:34:32Z,114
2025-08-20T13:34:37Z,115
2025-08-20T13:34:42Z,116
2025-08-20T13:34:47Z,117
2025-08-20T13:34:52Z,116
2025-08-20T13:34:57Z,113
2025-08-20T13:35:02Z,110
2025-08-20T13:35:07Z,108
2025-08-20T13:35:12Z,107
2025-08-20T13:35:17Z,105
2025-08-20T13:35:22Z,103
2025-08-20T13:35:27Z,100
2025-08-20T13:35:42Z,99
2025-08-20T13:35:47Z,97
2025-08-20T13:35:52Z,95
2025-08-20T13:35:57Z,93
2025-08-20T13:36:02Z,94
2025-08-20T13:36:07Z,98
2025-08-20T13:36:12Z,99
2025-08-20T13:36:17Z,98
2025-08-20T13:36:22Z,98
2025-08-20T13:36:37Z,98
2025-08-20T13:36:42Z,99
2025-08-20T13:36:47Z,100
2025-08-20T13:36:52Z,99
2025-08-20T13:36:57Z,99
2025-08-20T13:37:12Z,99
2025-08-20T13:37:17Z,99
2025-08-20T13:37:32Z,99
2025-08-20T13:37:42Z,100
2025-08-20T13:37:47Z,101
2025-08-20T13:37:57Z,100
2025-08-20T13:38:02Z,95
2025-08-20T13:38:07Z,94
2025-08-20T13:38:12Z,95
2025-08-20T13:38:27Z,96
2025-08-20T13:38:32Z,95
2025-08-20T13:38:47Z,95
2025-08-20T13:38:52Z,96
2025-08-20T13:38:57Z,95
2025-08-20T13:39:02Z,95
2025-08-20T13:39:07Z,93
2025-08-20T13:39:22Z,94
2025-08-20T13:39:37Z,95
2025-08-20T13:39:47Z,94
2025-08-20T13:40:02Z,94
2025-08-20T13:40:12Z,95
2025-08-20T13:40:27Z,95
2025-08-20T13:40:32Z,96
2025-08-20T13:40:37Z,97
2025-08-20T13:40:42Z,96
2025-08-20T13:40:47Z,96
2025-08-20T13:40:57Z,95
2025-08-20T13:41:02Z,94
2025-08-20T13:41:07Z,94
2025-08-20T13:41:22Z,94
2025-08-20T13:41:37Z,95
2025-08-20T13:41:42Z,94
2025-08-20T13:41:47Z,92
2025-08-20T13:42:02Z,91
2025-08-20T13:42:12Z,90
2025-08-20T13:42:17Z,89
2025-08-20T13:42:22Z,88
2025-08-20T13:42:37Z,87
2025-08-20T13:42:47Z,89
2025-08-20T13:42:52Z,94
2025-08-20T13:42:57Z,99
2025-08-20T13:43:02Z,101
2025-08-20T13:43:07Z,102
2025-08-20T13:43:12Z,104
2025-08-20T13:43:17Z,105
2025-08-20T13:43:22Z,106
2025-08-20T13:43:32Z,107
2025-08-20T13:43:47Z,108
2025-08-20T13:43:52Z,109
2025-08-20T13:44:07Z,104
2025-08-20T13:44:12Z,107
2025-08-20T13:44:17Z,113
2025-08-20T13:44:22Z,115
2025-08-20T13:44:27Z,114
2025-08-20T13:44:32Z,111
2025-08-20T13:44:37Z,110
2025-08-20T13:44:52Z,110
2025-08-20T13:44:57Z,111
2025-08-20T13:45:02Z,110
2025-08-20T13:45:07Z,107
2025-08-20T13:45:17Z,108
2025-08-20T13:45:22Z,109
2025-08-20T13:45:27Z,110
2025-08-20T13:45:32Z,108
2025-08-20T13:45:37Z,106
2025-08-20T13:45:52Z,112
2025-08-20T13:45:57Z,113
2025-08-20T13:46:07Z,110
2025-08-20T13:46:12Z,109
2025-08-20T13:46:17Z,111
2025-08-20T13:46:22Z,112
2025-08-20T13:46:27Z,109
2025-08-20T13:46:32Z,108
2025-08-20T13:46:37Z,109
2025-08-20T13:46:42Z,108
2025-08-20T13:46:47Z,107
2025-08-20T13:46:57Z,106
2025-08-20T13:47:02Z,104
2025-08-20T13:47:07Z,100
2025-08-20T13:47:17Z,102
2025-08-20T13:47:22Z,112
2025-08-20T13:47:27Z,110
2025-08-20T13:47:32Z,112
2025-08-20T13:47:37Z,111
2025-08-20T13:47:42Z,124
2025-08-20T13:47:48Z,137
2025-08-20T13:47:53Z,141
2025-08-20T13:47:58Z,147
2025-08-20T13:48:03Z,153
2025-08-20T13:48:08Z,154
2025-08-20T13:48:13Z,153
2025-08-20T13:48:23Z,155
2025-08-20T13:48:28Z,154
2025-08-20T13:48:33Z,153
2025-08-20T13:48:38Z,154
2025-08-20T13:48:48Z,152
2025-08-20T13:48:53Z,145
2025-08-20T13:48:58Z,146
2025-08-20T13:49:08Z,143
2025-08-20T13:49:18Z,140
2025-08-20T13:49:28Z,142
2025-08-20T13:49:33Z,144
2025-08-20T13:49:38Z,145
2025-08-20T13:49:43Z,146
2025-08-20T13:49:53Z,149
2025-08-20T13:49:58Z,147
2025-08-20T13:50:03Z,149
2025-08-20T13:50:08Z,150
2025-08-20T13:50:13Z,151
2025-08-20T13:50:28Z,152
2025-08-20T13:50:33Z,153
2025-08-20T13:50:38Z,150
2025-08-20T13:50:43Z,154
2025-08-20T13:50:58Z,156
2025-08-20T13:51:13Z,156
2025-08-20T13:51:23Z,146
2025-08-20T13:51:28Z,141
2025-08-20T13:51:33Z,139
2025-08-20T13:51:38Z,137
2025-08-20T13:51:43Z,136
2025-08-20T13:51:48Z,134
2025-08-20T13:51:53Z,129
2025-08-20T13:51:58Z,125
2025-08-20T13:52:03Z,121
2025-08-20T13:52:08Z,116
2025-08-20T13:52:13Z,109
2025-08-20T13:52:18Z,104
2025-08-20T13:52:23Z,101
2025-08-20T13:52:28Z,100
2025-08-20T13:52:33Z,97
2025-08-20T13:52:38Z,92
2025-08-20T13:52:43Z,89
2025-08-20T13:52:48Z,87
2025-08-20T13:52:53Z,84
2025-08-20T13:53:03Z,85
2025-08-20T13:53:08Z,94
2025-08-20T13:53:13Z,102
2025-08-20T13:53:18Z,101
2025-08-20T13:53:23Z,98
2025-08-20T13:53:28Z,96
2025-08-20T13:53:33Z,93
2025-08-20T13:53:38Z,91
2025-08-20T13:53:53Z,91
2025-08-20T13:53:58Z,92
2025-08-20T13:54:03Z,94
2025-08-20T13:54:08Z,97
2025-08-20T13:54:13Z,101
2025-08-20T13:54:18Z,102
2025-08-20T13:54:23Z,106
2025-08-20T13:54:33Z,106
2025-08-20T13:54:38Z,107
2025-08-20T13:54:43Z,104
2025-08-20T13:54:53Z,106
2025-08-20T13:54:58Z,102
2025-08-20T13:55:03Z,100
2025-08-20T13:55:18Z,100
2025-08-20T13:55:33Z,101
2025-08-20T13:55:43Z,98
2025-08-20T13:55:48Z,99
2025-08-20T13:55:53Z,100
2025-08-20T13:55:58Z,99
2025-08-20T13:56:13Z,101
2025-08-20T13:56:18Z,101
2025-08-20T13:56:23Z,100
2025-08-20T13:56:38Z,101
2025-08-20T13:56:48Z,99
2025-08-20T13:56:53Z,96
2025-08-20T13:56:58Z,99
2025-08-20T13:57:03Z,100
2025-08-20T13:57:08Z,102
2025-08-20T13:57:18Z,101
2025-08-20T13:57:23Z,101
2025-08-20T13:57:38Z,101
2025-08-20T13:57:53Z,102
2025-08-20T13:58:03Z,102
2025-08-20T13:58:13Z,104
2025-08-20T13:58:18Z,105
2025-08-20T13:58:33Z,104
2025-08-20T13:58:38Z,102
2025-08-20T13:58:43Z,98
2025-08-20T13:58:58Z,98
2025-08-20T13:59:13Z,96
2025-08-20T13:59:18Z,97
2025-08-20T13:59:23Z,98
2025-08-20T13:59:33Z,97
2025-08-20T13:59:38Z,95
2025-08-20T13:59:43Z,96
2025-08-20T13:59:48Z,98
2025-08-20T13:59:53Z,100
2025-08-20T13:59:58Z,101
2025-08-20T14:00:03Z,101
2025-08-20T14:00:08Z,100
2025-08-20T14:00:23Z,99
2025-08-20T14:00:28Z,98
2025-08-20T14:00:33Z,97
2025-08-20T14:00:38Z,98
2025-08-20T14:00:43Z,99
2025-08-20T14:00:48Z,99
2025-08-20T14:00:58Z,98
2025-08-20T14:01:08Z,97
2025-08-20T14:01:13Z,98
2025-08-20T14:01:18Z,100
2025-08-20T14:01:33Z,98
2025-08-20T14:01:38Z,94
2025-08-20T14:01:43Z,93
2025-08-20T14:01:58Z,92
2025-08-20T14:02:03Z,94
2025-08-20T14:02:08Z,95
2025-08-20T14:02:13Z,97
2025-08-20T14:02:18Z,100
2025-08-20T14:02:23Z,101
2025-08-20T14:02:28Z,101
2025-08-20T14:02:43Z,101
2025-08-20T14:02:48Z,100
2025-08-20T14:02:57Z,100
2025-08-20T14:03:02Z,95
2025-08-20T14:03:07Z,91
2025-08-20T14:03:12Z,90
2025-08-20T14:03:22Z,90
2025-08-20T14:03:27Z,87
2025-08-20T14:03:37Z,85
2025-08-20T14:03:42Z,86
2025-08-20T14:03:47Z,90
2025-08-20T14:03:52Z,91
2025-08-20T14:04:07Z,91
2025-08-20T14:04:12Z,91
2025-08-20T14:04:22Z,90
2025-08-20T14:04:27Z,88
2025-08-20T14:04:32Z,83
2025-08-20T14:04:47Z,83
2025-08-20T14:04:52Z,88
2025-08-20T14:04:57Z,93
2025-08-20T14:05:02Z,95
2025-08-20T14:05:07Z,95
2025-08-20T14:05:12Z,96
2025-08-20T14:05:22Z,97
2025-08-20T14:05:27Z,98
2025-08-20T14:05:42Z,98
2025-08-20T14:05:57Z,97
2025-08-20T14:06:07Z,98
2025-08-20T14:06:17Z,97
2025-08-20T14:06:22Z,97
2025-08-20T14:06:37Z,97
2025-08-20T14:06:47Z,97
2025-08-20T14:06:57Z,98
2025-08-20T14:07:02Z,97
2025-08-20T14:07:17Z,97
2025-08-20T14:07:22Z,98
2025-08-20T14:07:27Z,97
2025-08-20T14:07:32Z,95
2025-08-20T14:07:37Z,94
2025-08-20T14:07:47Z,93
2025-08-20T14:07:52Z,92
2025-08-20T14:07:57Z,93
2025-08-20T14:08:12Z,93
2025-08-20T14:08:27Z,93
2025-08-20T14:08:32Z,94
2025-08-20T14:08:37Z,93
2025-08-20T14:08:52Z,93
2025-08-20T14:09:07Z,93
2025-08-20T14:09:12Z,92
2025-08-20T14:09:17Z,91
2025-08-20T14:09:22Z,90
2025-08-20T14:09:27Z,91
2025-08-20T14:09:32Z,96
2025-08-20T14:09:37Z,98
2025-08-20T14:09:52Z,98
2025-08-20T14:09:57Z,97
2025-08-20T14:10:02Z,96
2025-08-20T14:10:07Z,95
2025-08-20T14:10:17Z,95
2025-08-20T14:10:22Z,94
2025-08-20T14:10:27Z,93
2025-08-20T14:10:37Z,94
2025-08-20T14:10:52Z,94
2025-08-20T14:11:02Z,95
2025-08-20T14:11:17Z,95
2025-08-20T14:11:27Z,95
2025-08-20T14:11:42Z,95
2025-08-20T14:11:47Z,94
2025-08-20T14:12:02Z,94
2025-08-20T14:12:07Z,94
2025-08-20T14:12:12Z,95
2025-08-20T14:12:17Z,93
2025-08-20T14:12:22Z,92
2025-08-20T14:12:27Z,91
2025-08-20T14:12:42Z,93
2025-08-20T14:12:47Z,93
2025-08-20T14:13:02Z,93
2025-08-20T14:13:07Z,92
2025-08-20T14:13:17Z,93
2025-08-20T14:13:32Z,92
2025-08-20T14:13:37Z,93
2025-08-20T14:13:52Z,93
2025-08-20T14:14:02Z,92
2025-08-20T14:14:07Z,93
2025-08-20T14:14:22Z,93
2025-08-20T14:14:32Z,94
2025-08-20T14:14:42Z,95
2025-08-20T14:14:47Z,96
2025-08-20T14:14:52Z,95
2025-08-20T14:14:57Z,94
2025-08-20T14:15:02Z,92
2025-08-20T14:15:17Z,92
2025-08-20T14:15:27Z,93
2025-08-20T14:15:32Z,92
2025-08-20T14:15:47Z,93
2025-08-20T14:15:57Z,92
2025-08-20T14:16:02Z,90
2025-08-20T14:16:07Z,89
2025-08-20T14:16:12Z,88
2025-08-20T14:16:22Z,89
2025-08-20T14:16:32Z,88
2025-08-20T14:16:42Z,87
2025-08-20T14:16:47Z,84
2025-08-20T14:16:52Z,86
2025-08-20T14:16:57Z,87
2025-08-20T14:17:12Z,87
2025-08-20T14:17:17Z,88
2025-08-20T14:17:27Z,89
2025-08-20T14:17:42Z,89
2025-08-20T14:17:57Z,89
2025-08-20T14:18:02Z,88
2025-08-20T14:18:07Z,89
2025-08-20T14:18:12Z,90
2025-08-20T14:18:22Z,91
2025-08-20T14:18:27Z,93
2025-08-20T14:18:32Z,95
2025-08-20T14:18:37Z,98
2025-08-20T14:18:42Z,99
2025-08-20T14:18:57Z,100
2025-08-20T14:19:12Z,101
2025-08-20T14:19:27Z,101
2025-08-20T14:19:32Z,104
2025-08-20T14:19:37Z,106
2025-08-20T14:19:47Z,105
2025-08-20T14:19:57Z,104
2025-08-20T14:20:07Z,105
2025-08-20T14:20:12Z,107
2025-08-20T14:20:17Z,105
2025-08-20T14:20:27Z,106
2025-08-20T14:20:32Z,107
2025-08-20T14:20:47Z,107
2025-08-20T14:20:57Z,109
2025-08-20T14:21:02Z,111
2025-08-20T14:21:07Z,112
2025-08-20T14:21:12Z,108
2025-08-20T14:21:17Z,102
2025-08-20T14:21:22Z,97
2025-08-20T14:21:27Z,98
2025-08-20T14:21:32Z,101
2025-08-20T14:21:37Z,100
2025-08-20T14:21:47Z,104
2025-08-20T14:21:52Z,103
2025-08-20T14:22:07Z,104
2025-08-20T14:22:22Z,104
2025-08-20T14:22:27Z,102
2025-08-20T14:22:37Z,100
2025-08-20T14:22:47Z,101
2025-08-20T14:22:57Z,100
2025-08-20T14:23:02Z,99
2025-08-20T14:23:07Z,100
